fecha;Run Fondo;serie;"1M";"3M";"6M";"1Y";ytd
2023-07-03;8295;APV;1.78%;1.06%;1.48%;2.46%;1.28%
2023-07-04;8295;APV;1.69%;0.82%;1.26%;2.56%;1.20%
2023-07-05;8295;APV;1.39%;0.83%;1.18%;1.75%;1.07%
2023-07-06;8295;APV;0.95%;0.18%;0.97%;1.00%;0.88%
2023-07-07;8295;APV;1.06%;0.16%;0.92%;1.06%;0.86%
2023-07-08;8295;APV;1.15%;0.16%;0.90%;1.20%;0.87%
2023-07-09;8295;APV;1.14%;0.17%;1.04%;1.18%;0.87%
2023-07-10;8295;APV;1.22%;0.25%;1.00%;1.24%;0.96%
2023-07-11;8295;APV;1.11%;0.49%;0.61%;0.86%;0.86%
2023-07-12;8295;APV;0.67%;0.97%;0.59%;0.73%;0.93%
2023-07-13;8295;APV;0.87%;1.33%;0.88%;0.92%;1.23%
2023-07-14;8295;APV;1.01%;1.46%;1.09%;0.75%;1.45%
2023-07-15;8295;APV;0.79%;1.44%;1.08%;1.59%;1.45%
2023-07-16;8295;APV;0.74%;1.41%;1.30%;1.57%;1.45%
2023-07-17;8295;APV;1.09%;1.70%;1.73%;1.90%;1.81%
2023-07-18;8295;APV;1.12%;2.00%;2.02%;2.68%;1.85%
